index,term,polarity,termFrom,termTo,context
0,cord,1,41,45,I charge it at night and skip taking the cord with me because of the good battery life.
1,battery life,2,74,86,I charge it at night and skip taking the cord with me because of the good battery life.
2,service center,0,27,41,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from."
3,tech guy,1,4,12,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from."
4,quality,2,14,21,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous."
5,GUI,2,36,39,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous."
6,applications,2,118,130,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous."
7,use,2,143,146,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous."
8,features,2,46,54,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!"
9,iChat,2,77,82,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!"
10,Photobooth,2,84,94,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!"
11,garage band,2,96,107,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!"
12,features,2,36,44,Great laptop that offers many great features!
13,GUI,0,89,92," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does."
14,screen,0,94,100," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does."
15,power light,1,111,122," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does."
16,hard drive light,0,131,147," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does."
17,rubber enclosure,2,50,66,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con)."
18,edge,0,108,112,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con)."
19,multi-touch gestures,2,13,33,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming)."
20,external mouse,1,73,87,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming)."
21,gaming,1,115,121,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming)."
22,suite of software,2,26,43,I love the way the entire suite of software works together.
23,Windows 7,2,40,49,This laptop meets every expectation and Windows 7 is great!
24,usb devices,0,21,32,I can barely use any usb devices because they will not stay connected properly.
25,software,1,50,58,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.
26,system,0,111,117,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.
27,Microsoft office for the mac,0,51,79,"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC."
28,syncing,2,67,74,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.
29,"30"" HD Monitor",2,32,46,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!"
30,screen,1,80,86,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!"
31,boot up,0,23,30,The machine is slow to boot up and occasionally crashes completely.
32,service,0,46,53,"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours."
33,operating system,2,11,27,I love the operating system and the preloaded software.
34,preloaded software,2,36,54,I love the operating system and the preloaded software.
35,price,2,40,45,The best thing about this laptop is the price along with some of the newer features.
36,features,2,75,83,The best thing about this laptop is the price along with some of the newer features.
37,clock in BIOS setup,0,57,76,"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie)."
38,WARRANTY SERVICE,0,44,60,YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.
39,brand,0,48,53,but now i have realized its a problem with this brand.
40,warranty,2,59,67,I sent it back to Toshiba twice they covered it under the  warranty.
41,features,2,58,66,I was looking for a mac which is portable and has all the features that I was looking for.
42,fan,0,25,28,Also kinda loud when the fan was running.
43,Customer Service number,1,31,54,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"")."
44,warranty,0,76,84,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"")."
45,talking to a technician,0,137,160,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"")."
46,hard disc,0,43,52,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.
47,windows,0,70,77,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.
48,drivers,1,122,129,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.
49,Drivers,2,0,7,Drivers updated ok but the BIOS update froze the system up and the computer shut down.
50,BIOS update,0,27,38,Drivers updated ok but the BIOS update froze the system up and the computer shut down.
51,system,0,49,55,Drivers updated ok but the BIOS update froze the system up and the computer shut down.
52,HP Technical Support,1,28,48,Spent 2 hours on phone with HP Technical Support.
53,keyboard,0,4,12,The keyboard is too slick.
54,virus scan,1,46,56,Nightly my computer defrags itself and runs a virus scan.
55,9 punds,0,10,17,"It's like 9 punds, but if you can look past it, it's GREAT!"
56,program,1,27,34,It's just as fast with one program open as it is with sixteen open.
57,Toshiba Warranty,0,120,136,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.
58,Quality,2,8,15,Amazing Quality!
59,webcam,1,48,54,The fact that you can spend over $100 on just a webcam underscores the value of this machine.
60,value,2,71,76,The fact that you can spend over $100 on just a webcam underscores the value of this machine.
