index,term,polarity,termFrom,termTo,context
0,jimmy carter,0,61,73,"i agree about arafat . i mean , shit , they even gave one to jimmy carter ha . it should be called '' the worst president '' prize ."
1,britney spears,2,12,26,musicmonday britney spears - lucky do you remember this song ? it ` s awesome . i love it .
2,hilary swank,1,6,18,"wtf ? hilary swank is coming to my school today , just to chill . lol wow"
3,google,0,32,38,God damn . That Sony remote for google is fucking hideeeeeous !
4,britney spears,2,26,40,listening 2 '' 3 '' by ms britney spears cant wait 4 the video on oct . 19 you guys need 2 love her new single also buy her single collection nov . 24 !
5,hilary swank,1,69,81,gerard butler is hot ... 1 . his accent 2 . that romantic movie with hilary swank where he was dead 3 . sex scene in the 300
6,harry potter,0,35,47,izašao je you '' videoteci '' novi harry potter i public enemy : -RRB-
7,britney spears,2,5,19,3 by britney spears is an amazing song
8,hillary clinton,1,72,87,"people whose reactions I 'd appreciate this morning : bill clinton 's , hillary clinton ' is ... george bush 's -LRB- latter for completely difference reasons -RRB-"
9,lady gaga,1,11,20,NowPlaying lady gaga - let love down
10,obama,0,4,9,The obama domestic genocide hug .
11,justin timberlake,2,21,38,"Paramore , incubus , justin timberlake , a7x , the strokes , motley crue pilih yg mana yaah bingung cc buckupshow"
12,madonna,1,57,64,okay maybe just a little shocked xD omg nicolerichie the madonna fans are outraged at what you did
13,george bush,1,53,64,he might have got the nobel prize just for not being george bush
14,perez hilton,0,85,97,"People i followed today '' Omarion , Natalie Nunn and any PAST BGC cast , Chingy and perez hilton '' what a list of Wackness"
15,britney spears,2,49,63,tomorrow we have art class ! love it ! lsning to britney spears - piece of me
16,barack obama,1,76,88,Waitrose dumps Fox News in protest over -LSB- Glen Beck -RSB- remarks about barack obama
17,iphone,1,28,34,"downloaded blacksn0w for my iphone . the jailbroken features are cool , but the bugs and connection problems are n't worth it ."
18,nicki minaj,0,0,11,nicki minaj has brought back the female rapper . - really ? nicki minaj is the biggest parody in popular music since the Lonely Island .
19,wii,2,38,41,my day off after a wedding consist of wii zelda and chinese food . i feel like i 'm in jr high . this rocks !!
20,ipod,1,79,83,7 inch touch screen 2 din in dash car dvd player with television bluetooth gps ipod function dual zone szc1085 : o . .
21,george bush,1,105,116,"do n't get me wrong , i am a huge obama supporter but it feels forced or like an '' at least you 're not george bush award ''"
22,charlie sheen,0,50,63,FF MarkieAi Likes animals . Hates spiders . Hates charlie sheen . Likes cookies .
23,maradona,2,35,43,ESPN Soccer Net News Ardiles backs maradona for World Cup glory
24,anderson cooper,1,55,70,There 's a firefighter in my class who looks just like anderson cooper but buffer and supposedly straight . notcomplaining
25,ipod,1,118,122,-LSB- happy birthday git * git ! -RSB- ily ! ... some reason im very tired ! but today was really fun ! :-RRB- ugh my ipod died !
26,jt,0,34,36,"`` SkyJacquie : Is everyone happy jt is back as England Captain ? '' NO ! It 's a farce but that 's England . Capello , another expensive FA failure"
27,google wave,2,7,18,omg !! google wave is amazing !!! olo worms plotting stuff in real time . we could meet up in person . . but we all hate each other .
28,barack obama,1,0,12,barack obama and John McCain clash over Afghanistan strategy : barack obama reacted angrily after John McCain a . .
29,psp,1,45,48,do you know how to convert youtube videos to psp compatible ones through linux command ? thank you in advance : -RRB-
30,sarah palin,0,78,89,`` FrameMaker has detected a serious error and must quit . '' So how long has sarah palin been writing code for Adobe ?
31,hilary swank,2,0,12,hilary swank as amelia earhart is actually pretty great casting .
32,britney spears,1,36,50,they even have red costumes on like britney spears
33,shaq,0,113,117,ABOVE THE RIM : some mean basketball but misses the layup with hammy acting & a script that 's the equivalent to shaq 's art creation
34,dave matthews,2,4,17,The dave matthews Band is so damn good . Give me the Chili Peppers and dave matthews Band and I 'm set for a very long while . RHCP DMB
35,wii,1,52,55,press start : the faces of ' ballad of gay tony ' ; wii update woes extract not available .
36,britney spears,1,40,54,i love bad romance and fashion and 3 by britney spears i love you both lady gag too girl ! her concerts r better than the record !!
37,serena williams,0,8,23,Video : serena williams gets x-rated for new tennis game ad ! .
38,ipod,1,83,87,shorty like a melody in my head that i keep singing like la la la everyday like an ipod stuck in replay :-RRB- love that song
39,russell brand,0,88,101,". probably the most insightful , eloquent , and intelligent interview i 've ever seen . russell brand an intellectual ? damn"
40,sarah palin,2,97,108,~ I am an ' Independent Thinker ' and President R . Reagan was a great president . ... I support sarah palin .
41,google wave,1,40,51,"-LSB- gwaveblogs -RSB- ultimate list of google wave gadgets and tools - google wave , google wave extension , google wave gadge ..."
42,joe biden,1,71,80,Rumors Swirl About Biden Sleeping During Obama Speech : Vice President joe biden was caught with his eyes closed ... .
43,britney spears,0,44,58,omg what has the world come to !? they sang britney spears !!!! awful !!!! :
44,justin bieber,1,23,36,best joke of the day : justin bieber is gay : D
45,madonna,1,72,79,"Guy Ritchie has revealed he has struggled to cope with his divorce from madonna , and admits he still loves her ."
46,lindsay lohan,0,6,19,"wow , lindsay lohan is looking like garbage . what 's she doing to herself ?"
47,lindsay lohan,2,38,51,- this is sad because i actually love lindsay lohan ... what happen ????
48,bill gates,1,69,79,I sure would love to meet the guy who created the first computer . . bill gates brother . . lol
49,iphone,1,109,115,you doing police training on 7pm project last night was funny shit . you are a funny bugger . good luck with iphone
50,harry potter,0,26,38,LMAO i know !! i dnt like harry potter he 's so English !! hehehe its raining here too SMDH
51,britney spears,2,7,21,"i love britney spears . yes , i said it ."
52,britney spears,1,102,116,"e ainda : oh novo clipe do the all american rejects - '' i wan na '' , bandahori , dionne bromfield , britney spears , beyonce e lady gag"
53,hilary swank,1,24,36,"celeb rumors update ! , hilary swank wants a baby -"
54,obama,0,60,65,Fox : High-Profile Conservative Group Files Lawsuit Against obama Administration Over Health Care Waivers .
55,harry potter,2,7,19,"i love harry potter , but i have to agree with anderson . feminism is not a leading theme in the series ..."
56,ryan seacrest,1,43,56,"ahH Harvey why would you ever want to kiss ryan seacrest ass ? i hate ass-kissers , don scoop that low TMZ"
57,barack obama,1,10,22,How could barack obama get that Nobel Price ! His preach about a world without nuclear weapon is just pure rhetoric !
58,britney spears,0,19,33,i don think any of britney spears ' new music can even be classified as singing ... it 's all computerized !
59,britney spears,2,22,36,really liking the new britney spears and mj songs : -RRB-
60,hillary clinton,1,48,63,"she deserves a NPP Thank you Secretary of State hillary clinton , for helping us resolve the feud ! ="
61,google wave,1,21,32,woohoo . just got my google wave invite . thank you toddramsey .
62,micheal jackson,0,27,42,"This is bad , real bad ... micheal jackson ..."
63,obama,2,20,25,"Thank you President obama for passing healthcare reform ! with out extension to 26 , I 'd have no healthcare . heathcarereformbirthday"
64,xbox,1,13,17,- 11/07/09 : xbox 360 men 's sleep shorts ? yes please . so much stuff at the tucson comic-con .
65,katy perry,1,42,52,"My last 3 downloads were Good Charlotte , katy perry and Adele . I think I may be turning into a 13 year old girl . Got ta buy some lip gloss ."
66,lady gaga,0,38,47,Photo : lovelyasadove : I do n't like lady gaga at all ! She is a true devilworshiper ! I just do n't like her ! I 'm ... .
67,google wave,2,40,51,"do n't know if anyone is doing it , but google wave seems to be a good place for newsrooms to collaborate in real-time for elections ."
68,wii,1,11,14,new post : wii perfect shot gun -LRB-
69,micheal jackson,1,31,46,I remember when i used to make micheal jackson jokes on the phone with bleahr ... Ahhhh those where the good days ...
70,micheal jackson,0,25,40,kraima I thought all the micheal jackson faces were going to melt plucka - lucky one was a Plastic Surgeon ... ha !!!
71,britney spears,2,13,27,listening to britney spears ' 3 ! awesome song . sounds like an orgasm !
72,barack obama,1,55,67,"Former AMA Presidents Offer Second Opinion : President barack obama pitched his health care reform plan , again , . ."
73,iphone,1,105,111,"i realize i can do all that if i jailbreak it , but i should n't have to do that and suffer as an honest iphone user ."
74,harry potter,0,7,19,i HATE harry potter
75,john legend,2,17,28,"Rick Ross feat . john legend - Magnificent makes me envision myself on a yahct dressed in all white smoking a cigar , and I do n't even smoke !"
76,martha stewart,1,22,36,Reading right now - ' martha stewart Weddings ' chapter on flowers . I 'm in creative inspirational heaven ! - What are you reading right now ?
77,britney spears,1,0,14,britney spears bikini pictures are not bad
78,lindsay lohan,0,4,17,was lindsay lohan ' s ungaro collection really as bad as everyone said - by josh partner - slate magazine
79,iphone,2,2,8,- iphone day ! double epic woohoo woohoo ! spint it has been a good run . thanks
80,justin timberlake,1,0,17,"justin timberlake . Get the N'sync boys back together and marry me . Please . Also , grow your hair curly again and die it blonde . Thanks < 3"
81,madonna,1,57,64,I just woke up from a dream in which I was shopping with madonna & she tried to set me up with Seth Rogen .
82,lindsay lohan,0,15,28,aaaaaaaand the lindsay lohan debacle continues ...
83,wii,2,14,17,having a good wii
84,lindsay lohan,1,0,13,lindsay lohan ' s day in court | gossipcenter - celebrity gossip and ... : breaking news ; hottest stories ; more gossip . courteney cox : & . .
85,steve jobs,1,86,96,How to make your presentations enthralling and packed with impact : Deliver them like steve jobs :
86,ipad,2,41,45,Mmmm & I forgot how much I love having a ipad . Even if it is slightly pointless !
87,steve jobs,1,8,18,Magical steve jobs to help Disney stores become mini theme parks
88,hillary clinton,1,24,39,say what you will about hillary clinton . the woman has a gift for retaining info and is a master interviewee . watching her on '' amanpour . ''
89,kim kardashian,0,25,39,ill order a bitch with a kim kardashian ass trina attitude and monica face is that on the menu ?
90,harry potter,2,24,36,I won 6 achievements in harry potter
91,britney spears,1,0,14,britney spears releases '' 3 '' and a year and a half ago was just a hot mess and we say legend . gag creates art . we call her dude ?
92,xbox,1,0,4,"xbox + $ 100 gift card for $ 200 this weekend ! hello , beatles rock band :"
93,mandy moore,0,0,11,mandy moore nude video Check out the latest mandy moore nude sex videos and other funny videos from ... mandy moore fansite with latest picture
94,al gore,2,44,51,A leopard never changes his stripes . -LRB- al gore -RRB- WisdomTweets .
95,britney spears,1,97,111,noul album ` fame : the monster ` a lui lady gag va fi lansat in 24 nov in aceas zi cu cel a lui britney spears www.cr15t1.webs.com/blog.htm
96,lindsay lohan,1,16,29,"gossip girls >> lindsay lohan : post-court pampering : after spending her morning in court , l . ."
97,taylor swift,2,51,63,"66 . my favorite singers are The Pretty Reckless , taylor swift , Selena , Demi , Miley , Short Stack and Plumb -LRB- yes , Plumb is a band -RRB-"
98,john mccain,1,77,88,McCain was for Gadhafi before he was against him : I noted earlier that Sen. john mccain has taken a strange ... . is US
